"","s=0.01"
"247",367791.764620361
"248",311478.764306646
"249",398466.31856993
"250",615502.573324782
"251",927278.768315052
"252",549322.784516013
"253",483035.872599263
"254",535717.027923769
"255",390639.39156772
"256",467459.857910048
"257",313729.370205679
"258",506985.023496074
"259",464644.997004689
"260",409790.214861031
"261",952949.811705678
"262",435874.728245021
"263",404888.080723498
"264",573070.933806374
"265",501881.868697114
"266",545678.50002479
"267",571551.510477519
"268",569718.47164742
"269",543172.915616231
"270",610340.267809511
"271",390614.702047696
"272",397184.984775214
"273",273818.472509931
"274",468209.362079344
"275",431899.290444531
"276",442873.831708179
"277",342270.918677746
"278",420270.271412108
"279",597352.181736997
"280",344655.559127694
"281",630711.237087631
"282",461841.087201154
"283",586164.021802125
"284",313951.292338007
"285",649398.818490616
"286",589249.219513835
"287",586241.316197431
"288",1906403.36682195
"289",276529.788748735
"290",456064.587888735
"291",365944.50580666
"292",476397.375983823
"293",489184.776723142
"294",476243.969613513
"295",511119.249189045
"296",305046.87829788
"297",631349.365187185
"298",335854.206200829
"299",402976.097908788
"300",941165.821341127
"301",318731.592693027
"302",293452.838109605
"303",669467.776599673
"304",370862.595523889
"305",391933.212283202
"306",812638.412014244
"307",292361.069974012
"308",289852.869516428
"309",622806.912903896
"310",576907.039005533
"311",529308.765902637
"312",378719.177273494
"313",290644.597813662
"314",489078.474460367
"315",505141.884700079
"316",1849543.98705933
"317",362910.653284652
"318",386561.118063106
"319",569411.689434861
"320",381528.145251302
"321",628542.328236529
"322",666939.653056857
"323",326242.295951943
"324",324868.209127469
"325",462209.752146335
"326",316121.660535919
"327",532335.598211675
"328",330707.753314219
"329",373401.026090443
"330",529130.059591179
"331",403637.55308555
"332",370610.499726684
"333",581594.673268759
"334",613290.220278022
"335",513131.065646146
"336",382035.020881904
"337",303539.583566346
"338",534968.226687013
"339",417745.553405393
"340",430809.755861009
"341",338100.228925385
"342",568481.638556257
"343",367780.361430071
"344",352424.688222629
"345",302966.657230424
"346",460229.043040108
"347",361211.611096744
"348",371849.586583553
"349",524909.114908154
"350",329757.249852099
"351",300299.442420034
"352",407868.410679267
"353",385044.70146172
"354",771165.621654633
"355",431116.136808367
"356",383629.223369525
"357",333971.582226616
"358",470375.258644773
"359",326444.02501991
"360",437440.779196049
"361",331233.250081045
"362",590123.194725329
"363",1040774.46796835
"364",437717.573000995
"365",341399.02403626
"366",452903.511303276
"367",541531.232381243
"368",427941.028334331
"369",473365.636029839
"370",479206.156844791
"371",307686.65088266
"372",512884.864625137
"373",335561.32228971
"374",493696.014942124
"375",310577.026216826
"376",816284.415270764
"377",371549.420587243
"378",415198.785770726
"379",334662.141379903
"380",527975.59538922
"381",421868.149519601
"382",591545.054986125
"383",419764.712125431
"384",419764.712125431
"385",442937.417003564
"386",420115.549906081
"387",490015.708516367
"388",526575.252840681
"389",470668.644176112
"390",635853.023139326
"391",1772155.41951604
"392",357394.20744735
"393",575992.386074384
"394",760800.719201211
"395",365527.900670975
"396",450959.499473099
"397",337393.913380403
"398",445605.124107224
"399",552417.5175214
"400",293265.224637041
"401",907595.321444893
"402",324834.607750557
"403",624019.6887941
"404",284224.670916152
"405",404269.315874408
"406",653442.414139311
"407",358083.730877813
"408",464455.57130296
"409",452129.091741546
"410",280345.887864319
"411",294773.791108859
"412",499183.562739064
"413",378133.480560189
"414",312362.282614527
"415",654673.522225864
"416",384611.217923908
"417",318808.994450759
"418",414423.934671833
"419",497552.816457041
"420",295661.683763229
"421",320714.257257527
"422",990459.170653526
"423",270438.868045403
"424",501055.330061881
"425",642292.398357418
"426",490735.640970583
"427",583314.705892052
"428",1581025.01240705
"429",843473.557172512
"430",431335.200589489
"431",792720.963691836
"432",481470.908605122
"433",596547.94448238
"434",418590.324499405
"435",423441.597430632
"436",535516.278485751
"437",373969.46932562
"438",458241.123310484
"439",507221.062817293
"440",430398.031749004
"441",379727.27881312
"442",403889.084348717
"443",345065.389276972
"444",587771.131811405
"445",356828.314963141
"446",521776.075721615
"447",484924.831154023
"448",601753.944557413
"449",395117.61333008
"450",618105.72079093
"451",1002961.71913667
"452",383542.086786108
"453",478455.084512312
"454",420057.458073642
"455",443631.933609543
"456",446860.523699556
"457",341799.106865278
"458",534133.773784766
"459",428524.165565607
"460",410222.793385372
"461",1077054.6994441
"462",287212.96178076
"463",609678.683051442
"464",467868.202122051
"465",379296.64476035
"466",688580.052260363
"467",399839.575643614
"468",256902.682482334
"469",259536.437821119
"470",540091.959534496
"471",765279.735696853
"472",342084.385164437
"473",402258.6970773
"474",454858.117290771
"475",491928.562962976
"476",475481.085155295
"477",458551.6050232
"478",468005.134246612
"479",346755.567844272
"480",447803.218275787
"481",283511.235197643
"482",435261.23879395
"483",391223.553466198
"484",901402.440220018
"485",428868.53281493
"486",381012.063209283
"487",442001.364344066
"488",702825.442248798
"489",439392.160112078
"490",318942.425674184
"491",562036.995980114
"492",441341.169764009
"493",287265.668050781
"494",363065.402930269
"495",811625.228738513
"496",300857.865884672
"497",589735.781004111
"498",952597.544101152
"499",747515.885166482
"500",428031.183791217
"501",331364.195636043
"502",362372.73715531
"503",496485.067811918
"504",392647.351638985
"505",327971.468414737
"506",382458.124916974
"507",290337.532443153
"508",358210.166507054
"509",945819.03471474
"510",806745.274390399
"511",374682.679725054
"512",377201.382961871
"513",576236.815228323
"514",540550.856439733
"515",613320.588919572
"516",1003291.74567148
"517",1003291.74567148
"518",367073.003290322
"519",321589.617440703
"520",497884.434082039
"521",344811.460301106
"522",371965.224499249
"523",567309.184880077
"524",445178.771740373
"525",452310.765009173
"526",304267.702930366
"527",295415.345274852
"528",335779.339426289
"529",865858.656105987
"530",484864.620639507
"531",384613.276340288
"532",935453.039509367
"533",835835.255772828
"534",579519.310614491
"535",455780.108219357
"536",681147.783291143
"537",629259.216085079
"538",611187.231449304
"539",393537.551844083
"540",415833.783341869
"541",470227.816972392
"542",409932.120042699
"543",492166.518547113
"544",518872.072394432
"545",554038.084023952
"546",321563.164464061
"547",386474.192781326
"548",441242.039352506
"549",781738.456008995
"550",520021.801834904
"551",347409.909321794
"552",622513.412699446
"553",694277.282742599
"554",799454.526872649
"555",425769.29804294
"556",497093.835354779
"557",411151.607839653
"558",473292.368152096
"559",351494.267289719
"560",450354.362253406
"561",564521.631762356
"562",548188.001259363
"563",361022.145569412
"564",621491.689885152
"565",303384.009323368
"566",429419.947707138
"567",483376.117201503
"568",327196.702626955
"569",754936.861760731
"570",373884.917270227
"571",337334.333821639
"572",452406.625034192
"573",403791.541692111
"574",312168.589263243
"575",409658.390405293
"576",296518.617635654
"577",401655.01955046
"578",332866.145087681
"579",932657.986723604
"580",425215.249724688
"581",519367.764242948
"582",376898.02539147
"583",522002.669250574
"584",382705.02255374
"585",377325.042279661
"586",372845.798327206
"587",326044.474532844
"588",421831.176098651
"589",299516.979769335
"590",339209.497644506
"591",274695.910365073
"592",272319.833198254
"593",471638.202786339
"594",374058.562712078
"595",422135.854839776
"596",606488.521545356
"597",500403.799505352
"598",455516.604121464
"599",445751.232315337
"600",510706.096881642
"601",508379.503853737
"602",702273.232567273
"603",458027.469320972
"604",351476.737212438
"605",337426.278962162
"606",503899.067700043
"607",278450.431967077
"608",485578.415362891
"609",355791.786420367
"610",537593.406441533
"611",1162329.06556691
"612",478840.35442142
"613",429683.699856696
"614",425528.851316221
"615",506020.051909494
"616",305431.711735426
"617",730297.697014287
"618",282563.599844936
"619",402068.325534784
"620",435051.31129156
"621",497942.456367128
"622",316786.251628637
"623",313984.49101472
"624",310823.196325724
"625",566961.964877236
"626",441825.228381363
"627",361207.376631614
"628",327024.791477814
"629",522527.7584056
"630",456044.329195791
"631",314255.094439899
"632",447177.474761816
"633",373960.052094534
"634",317995.480401771
"635",342754.853869027
"636",414283.820052758
"637",487461.79651045
"638",365039.446582415
"639",297287.092973388
"640",418412.754242024
"641",366381.910626839
"642",324471.644749012
"643",306143.137122525
"644",406670.723457125
"645",369558.421278795
"646",613658.124874506
"647",336473.583022157
"648",351630.196127945
"649",505159.730385062
"650",508812.992129775
"651",277543.704082705
"652",898527.134836259
"653",504898.303575936
"654",384235.265540029
"655",510514.583209713
"656",283857.8148834
"657",341433.962919026
"658",279750.335505863
"659",502041.338445637
"660",524603.769534601
"661",435045.60854677
"662",533610.793121194
"663",823443.829998654
"664",384513.053137448
"665",335232.916869941
"666",304428.533111931
"667",634661.558714558
"668",388603.364823914
"669",611504.878807933
"670",557897.024943955
"671",348040.457276435
"672",478936.229175092
"673",1192747.83041285
"674",421478.717640564
"675",492303.750428775
"676",665085.247686806
"677",752598.434847007
"678",276281.481467974
"679",560016.79899334
"680",335145.581750858
"681",443292.507393923
"682",329541.451800589
"683",581171.835830554
"684",412879.34970652
"685",405041.935639292
"686",471362.124618322
"687",461264.063503979
"688",378402.154271543
"689",485466.956071132
"690",388899.943556823
"691",370205.999270519
"692",1331862.33954519
"693",386881.576518998
"694",548859.667360167
"695",391859.793318594
"696",437961.056000677
"697",426408.882063317
"698",362112.96579567
"699",452340.230711386
"700",1230324.50856056
"701",462491.388919866
"702",869468.498582108
"703",468886.439372353
"704",323948.065378613
"705",397593.01505054
"706",317783.334035341
"707",481133.536716706
"708",708718.291650416
"709",304744.145366417
"710",466765.930730051
"711",605979.338262246
"712",420856.169677613
"713",486483.681049736
"714",437583.810353965
"715",369762.009647292
"716",442423.776465076
"717",307685.087183272
"718",416191.744208981
"719",321413.332839411
"720",442457.67807341
"721",554619.92201448
"722",708519.37577294
"723",570191.553010243
"724",417163.223894081
"725",444461.553309768
"726",415368.186683246
"727",420384.342676698
"728",306629.778483114
"729",1691499.73664739
"730",418948.337100511
"731",381515.846531175
"732",309235.498979461
"733",654959.169880478
"734",1274940.72721185
"735",600492.493057944
"736",336677.774200524
"737",673298.990717063
"738",330141.556572319
"739",606261.082155436
"740",417800.672161345
"741",326757.725408416
"742",868894.362736391
"743",502067.584393926
"744",564505.681536181
"745",372924.547298318
"746",574872.127524107
"747",479134.233271956
"748",272710.900472476
"749",518538.623176959
"750",551641.893322174
"751",339458.954342203
"752",1097298.58598639
"753",888586.870572301
"754",384633.266458352
"755",541965.608645625
"756",278255.727435643
"757",447453.686443126
"758",707186.350815318
"759",714237.645780962
"760",494934.72027986
"761",451603.883936711
"762",381642.056547794
"763",426973.058230987
"764",322052.684189327
"765",305921.880865559
"766",305921.880865559
"767",370266.77319076
"768",640335.87830147
"769",288428.94379282
"770",613925.636062229
"771",302841.548163098
"772",895064.745268016
"773",559983.932807626
"774",523157.029193366
"775",290749.045343298
"776",618768.57233607
"777",311011.572318159
"778",545765.573318626
"779",403801.745268302
"780",310832.521290095
"781",586134.056379611
"782",383780.294214093
"783",412909.325437805
"784",334481.316115458
"785",358890.946022143
"786",410064.741396862
"787",441581.410607946
"788",490079.427995807
"789",310759.108888231
"790",537841.861652421
"791",504722.558449226
"792",788582.287060185
"793",651691.548371262
"794",519551.713541365
"795",442730.48565052
"796",582108.462408525
"797",397503.993259668
"798",644096.149447246
"799",275110.405512158
"800",950262.713830168
"801",344586.911365279
"802",511608.412527829
"803",429553.793026901
"804",411859.853157152
"805",786123.02829913
"806",380131.55331985
"807",600806.906668333
"808",515001.199022983
"809",342579.750524992
"810",367461.069775806
"811",610290.06589446
"812",380769.023413811
"813",546270.03032642
"814",621442.199682627
"815",363620.938048427
"816",335019.271264307
"817",387243.434861222
"818",314979.257480672
"819",423297.507598979
"820",795393.086738443
"821",465982.57487637
"822",540271.501581138
"823",1010904.00411463
"824",434893.409659335
"825",397122.874397321
"826",319876.426720124
"827",328322.810396033
"828",392759.593969663
"829",709717.310349171
"830",425505.574311972
"831",712378.993074878
"832",315849.15750571
"833",400130.741367619
"834",418251.265358447
"835",452318.102160678
"836",315725.213013655
"837",318077.845355158
"838",604469.057190253
"839",379662.825959653
"840",450275.617597096
"841",340564.110900905
"842",822131.32653281
"843",856087.821309512
"844",436885.154810352
"845",428165.054588253
"846",427756.475206805
"847",635281.311839921
"848",298636.378714366
"849",1190297.94869506
"850",491060.05002604
"851",300114.127366342
"852",347022.14826201
"853",309270.353539362
"854",412147.407354157
"855",383001.99100238
"856",639065.242297413
"857",381154.627478702
"858",443257.769790881
"859",286958.44829329
"860",681707.563754277
"861",306938.959381682
"862",313416.500420344
"863",368710.420969047
"864",355342.668940971
"865",390547.724805453
"866",777174.999385887
"867",450146.693018947
"868",352372.175012227
"869",398376.646281957
"870",374334.398912816
"871",352857.532888311
"872",423712.347242682
"873",430759.536104989
"874",537419.477349869
"875",381772.49037835
"876",859247.268253643
"877",321989.710352717
"878",418102.034939443
"879",565316.270579944
"880",1259530.77340765
"881",1111933.37354341
"882",375691.615873156
"883",518713.439002501
"884",615653.842736971
"885",413751.757834508
"886",317631.740338368
"887",373721.046893139
"888",733387.63818051
"889",386421.726313178
"890",610266.796667051
"891",437432.999662481
"892",531265.986235658
"893",330220.412158066
"894",389443.908915272
"895",392947.667069975
"896",401314.044623781
"897",354340.27392229
"898",364689.154369397
"899",466585.263206266
"900",331032.476512612
"901",549209.917569031
"902",531916.064511332
"903",370244.390109073
"904",442792.005826465
"905",520207.736823156
"906",425126.390635252
"907",407409.943542745
"908",494054.747621132
"909",1210211.18617154
"910",299937.835034284
"911",425100.814982014
"912",369509.512243571
"913",374261.209905125
"914",380647.604454544
"915",282181.182227235
"916",385928.062915759
"917",623983.638039436
"918",411389.30211121
"919",755524.924791145
"920",561244.345742016
"921",380203.946808945
"922",500490.756064702
"923",565130.256212761
"924",771789.034466686
"925",395944.248344678
"926",311666.914187377
"927",335187.375924302
"928",658526.488772014
"929",295398.863454153
"930",299254.791570582
"931",668875.895540441
"932",347729.462755477
"933",747895.566546965
"934",307743.756790286
"935",572887.864377229
"936",398758.677413855
"937",355128.559798697
"938",302296.638272312
"939",339897.635640749
"940",480209.975304096
"941",424948.734488102
"942",407995.728356188
"943",447297.924918937
"944",460834.165194314
"945",420258.7253297
"946",372854.334985744
"947",331089.301030219
"948",347702.226620496
"949",425333.469071802
"950",548800.483859816
"951",416145.192398834
"952",849567.363941577
"953",360112.912706598
"954",366213.574019646
"955",671604.316803146
"956",317942.975502448
"957",423403.956595793
"958",293885.384610762
"959",523902.590179971
"960",642206.0640261
"961",437146.490536868
"962",624916.520542546
"963",357753.806448671
"964",351066.824940421
"965",362867.898855239
"966",597624.071261384
"967",737355.714034668
"968",493285.450492693
"969",493430.63459208
"970",397895.380540697
"971",679970.354186878
"972",394850.288848135
"973",337618.00195607
"974",603038.596348673
"975",541463.027140896
"976",548509.049219434
"977",701043.098251474
"978",510453.842740126
"979",511485.980441516
"980",386506.358572831
"981",730165.906595288
"982",419592.6618838
"983",395176.123715402
"984",313844.578739572
"985",439952.729929283
"986",323976.23536834
"987",315249.109817421
"988",427182.094688361
"989",343435.792555329
"990",400026.718069857
"991",317825.11851925
"992",769121.994420671
"993",2199921.00930349
"994",340609.008520132
"995",334688.96433474
"996",445662.638227915
"997",594048.012353533
"998",715640.874923013
"999",533506.027753405
"1000",384142.481396906
"1001",508882.570672017
"1002",331940.78647406
"1003",337425.231855699
"1004",1392648.02745016
"1005",304821.762391109
"1006",504561.827534869
"1007",640043.803699733
"1008",755948.204184985
"1009",1034306.75577356
"1010",651944.047793789
"1011",756724.26457853
"1012",295229.643381221
"1013",1084174.24333998
"1014",521512.590772584
"1015",532411.146500731
"1016",464580.284394673
"1017",318155.836526888
"1018",276389.797590781
"1019",358524.311641138
"1020",401644.771646996
"1021",407913.662079461
"1022",588895.264070116
"1023",719436.00764873
"1024",450542.922880029
"1025",434040.423352995
"1026",267336.134688902
"1027",410026.675377994
"1028",326774.475228015
"1029",353864.882618093
"1030",296403.931770608
"1031",415556.146302138
"1032",379609.541621252
"1033",357614.249154616
"1034",663792.292474467
"1035",541277.835287629
"1036",461935.818776753
"1037",604365.758608811
"1038",453574.050488489
"1039",325214.203436208
"1040",383361.491112015
"1041",644986.761731568
"1042",488775.611554749
"1043",263645.845325742
"1044",443695.430721281
"1045",506500.956488467
"1046",580047.831313699
"1047",641276.329584239
"1048",312164.759749017
"1049",365507.432620363
"1050",541374.517527695
"1051",460073.520609098
"1052",376326.187362522
"1053",523107.210859027
"1054",505748.875727091
"1055",341812.404173362
"1056",486177.91386831
"1057",783104.05050426
"1058",547195.05566187
"1059",521782.300737987
"1060",610734.487906951
"1061",476687.004805807
"1062",1021908.57745716
"1063",479134.460933228
"1064",416769.269839994
"1065",451886.631400225
"1066",310799.386266857
"1067",329403.280533971
"1068",475303.369275038
"1069",434701.795083939
"1070",540797.284957921
"1071",753301.089718407
"1072",444863.820573715
"1073",305454.414684893
"1074",425474.042107147
"1075",306610.197583841
"1076",426462.155340244
"1077",408342.810548267
"1078",755922.324296836
"1079",301646.434894202
"1080",377088.220497574
"1081",428086.58138186
"1082",327067.798498543
"1083",478110.321319223
"1084",400974.013024799
"1085",380047.180964863
"1086",316786.251628637
"1087",482252.856223451
"1088",459701.987707869
"1089",360814.70450706
"1090",404349.491066622
"1091",499005.692917104
"1092",396448.372976505
"1093",308655.249016733
"1094",467925.264919988
"1095",687655.088201567
"1096",602602.751747392
"1097",407042.821544231
"1098",321815.190991383
"1099",431930.323704391
"1100",289524.896554422
"1101",529688.261755517
"1102",285550.252962287
"1103",376885.665681776
"1104",575072.871073852
"1105",679000.573219361
"1106",1119979.83360778
"1107",767756.657445114
"1108",471257.250968012
"1109",304563.850229505
"1110",520339.026189146
"1111",363880.004671477
"1112",396020.176247226
"1113",469884.135668256
"1114",886210.075541931
"1115",261355.366031534
"1116",486082.899166985
"1117",517762.417265929
"1118",337212.298692408
"1119",410719.3797518
"1120",612349.77293703
"1121",915227.714637467
"1122",498101.439276387
"1123",570916.121664069
"1124",620657.380694802
"1125",461882.262843292
"1126",456502.09448296
"1127",322739.668865244
"1128",325846.220936604
"1129",460363.890868177
"1130",533882.909603819
"1131",619170.088599389
"1132",420355.212228646
"1133",475785.440935847
"1134",316103.007459743
"1135",520810.772353721
"1136",302882.06149892
"1137",569625.753461458
"1138",510106.49216757
"1139",478835.615916445
"1140",372544.365277055
"1141",379970.969970609
"1142",580450.730008242
"1143",357476.909511955
"1144",330186.287880937
"1145",466093.977360268
"1146",808826.108284778
"1147",338463.205915355
"1148",311503.244714707
"1149",464454.10005324
"1150",537197.006203646
"1151",1583831.39868142
"1152",367280.778282783
"1153",365256.704789095
"1154",419546.470755973
"1155",304344.685945291
"1156",331213.519071288
"1157",577525.44227919
"1158",281374.664117164
"1159",663334.709988381
"1160",378890.237175761
"1161",439043.53460089
"1162",300867.178342791
"1163",722741.273843666
"1164",358334.143135635
"1165",293381.978266764
"1166",445942.195778519
"1167",339109.612906846
"1168",305992.611926176
"1169",292510.550224788
"1170",384844.049410512
"1171",787295.0010067
"1172",766231.981999028
"1173",447898.70234244
"1174",528548.095515702
"1175",356234.946040386
"1176",352453.013907312
"1177",1188176.31960837
"1178",349233.832149006
"1179",250522.767349601
"1180",457062.764379544
"1181",458943.265323276
"1182",473597.128109849
"1183",438931.939819896
"1184",363194.714559529
"1185",788790.062616735
"1186",271564.718747758
"1187",334682.657879284
"1188",293380.683850584
"1189",554253.343760341
"1190",280914.360157079
"1191",372503.535747526
"1192",524062.823414994
"1193",340010.466884978
"1194",597800.18858303
"1195",964765.501971995
"1196",463114.325328341
"1197",373251.746913838
"1198",445475.646973998
"1199",339455.992541226
"1200",402407.954219513
"1201",326437.742007813
"1202",661876.398654004
"1203",302655.289538267
"1204",319145.174015856
"1205",488698.766216951
"1206",384334.157624184
"1207",754286.81766693
"1208",319715.479183948
"1209",468971.1744807
"1210",318233.65541446
"1211",797933.309122524
"1212",403233.123872868
"1213",422884.398173465
"1214",328041.943165385
"1215",435174.671381997
"1216",535412.756600434
"1217",456385.004370958
"1218",313281.686830592
"1219",495420.2167801
"1220",876779.866934563
"1221",716672.559289828
"1222",413043.277463916
"1223",429978.326601491
"1224",535904.971462709
"1225",360084.883013879
"1226",432201.579706204
"1227",351584.146025521
"1228",430376.925744829
"1229",435786.819818668
"1230",889240.608847928
"1231",360920.315042781
"1232",430525.657057257
"1233",372327.127926594
"1234",379038.382306253
"1235",288460.654524238
"1236",277055.656456245
"1237",973386.763173466
"1238",369134.735892157
"1239",375751.489756931
"1240",537401.216925857
"1241",1083658.22482576
"1242",311423.807783944
"1243",778584.778277067
"1244",261526.636112013
"1245",302627.502821201
"1246",408867.486542208
"1247",406601.483661458
"1248",268700.217056801
"1249",342786.304099352
"1250",322658.382930911
"1251",447184.406433389
"1252",412662.84851042
"1253",437359.666694507
"1254",318197.644342281
"1255",387431.643869573
"1256",412631.32893256
"1257",388637.650542664
"1258",493612.722579017
"1259",751667.087599164
"1260",395272.002068799
"1261",471549.589373924
"1262",386443.261686588
"1263",276537.979238512
"1264",593996.169229286
"1265",686027.804673381
"1266",2611718.44453384
"1267",1630109.95382791
"1268",379830.458019546
"1269",326264.027968561
"1270",477233.871373488
"1271",764010.689921297
"1272",368981.159257953
"1273",408945.647391584
"1274",729949.638609503
"1275",468812.599732629
"1276",402456.081106187
"1277",416741.541806029
"1278",392191.160577684
"1279",334026.220007937
"1280",371105.64497356
"1281",487265.967974322
"1282",501869.553125316
"1283",352337.518241391
"1284",760618.473965326
"1285",666660.448891156
"1286",294292.781909579
"1287",405282.430837278
"1288",519155.893795753
"1289",563928.564950029
"1290",373236.856689995
"1291",458195.786463043
"1292",420784.220251378
"1293",421193.375805303
"1294",430367.523561313
"1295",630784.572781388
"1296",377655.640002506
"1297",681864.413427527
"1298",275845.457752462
"1299",320265.857375789
"1300",467883.555927219
"1301",438701.550433287
"1302",438940.879853908
"1303",592496.698310732
"1304",564011.232097964
"1305",501022.220669213
"1306",609970.206785381
"1307",309022.614283384
"1308",492795.185802936
"1309",294139.786675585
"1310",489481.483232178
"1311",922684.719480423
"1312",332599.743184274
"1313",296421.155340231
"1314",647863.803890363
"1315",318151.676750298
"1316",404978.20743604
"1317",688707.89013788
"1318",430852.569545743
"1319",412715.220699594
"1320",959864.23762287
"1321",423272.899797501
"1322",500031.960471102
"1323",360607.603006842
"1324",441734.259370813
"1325",437583.273432582
"1326",581917.142305338
"1327",311002.079438557
"1328",370903.77952694
"1329",386287.713763646
"1330",505108.042366256
"1331",984319.201089362
"1332",379543.007480163
"1333",355781.891463154
"1334",412116.736948595
"1335",512693.642098958
"1336",501889.902805728
"1337",623854.726311232
"1338",274132.470571091
"1339",448235.380173896
"1340",629355.54684071
"1341",303616.636462903
"1342",537762.080702525
"1343",383846.854239255
"1344",409173.773777481
"1345",756172.206795754
"1346",294864.898741599
"1347",367077.913565543
"1348",408688.380683998
"1349",361445.714172806
"1350",345322.844024933
"1351",405842.212777078
"1352",428685.596021765
"1353",807223.119168262
"1354",437732.349740211
"1355",325283.057173283
"1356",555217.918432215
"1357",587756.327810646
