"","V1"
"578",329368.018479369
"579",974254.902029003
"580",333903.165868423
"581",674221.005182597
"582",309471.697891336
"583",657752.661754909
"584",531378.504714958
"585",537662.976674768
"586",433287.001558758
"587",302333.675795213
"588",977831.680328138
"589",290359.133484924
"590",252583.605886039
"591",58272.0854535613
"592",170130.730631651
"593",509070.979507369
"594",460185.412983603
"595",346491.46193643
"596",1396363.77684953
"597",409859.691513604
"598",621642.882212389
"599",568676.249676097
"600",843384.399213027
"601",685362.372284468
"602",696945.403475224
"603",565381.152371598
"604",268195.863493148
"605",383055.138365257
"606",747709.643526755
"607",127570.662885362
"608",460205.542878671
"609",342622.341281663
"610",485612.038024722
"611",1814774.40903518
"612",558152.156461733
"613",608800.446726319
"614",260901.173881849
"615",398051.18339203
"616",230249.188571426
"617",1049904.12720339
"618",179688.183965038
"619",391409.321239485
"620",548576.24142131
"621",856324.432869718
"622",278475.59479044
"623",515863.26050892
"624",239555.925556882
"625",429942.735393903
"626",711901.42173391
"627",343629.73579248
"628",1040649.7302244
"629",500352.495715996
"630",470044.351395517
"631",484693.168094685
"632",259580.122734601
"633",501762.70416677
"634",124348.80187148
"635",508504.577298631
"636",560596.247683624
"637",484331.918748803
"638",459456.330152318
"639",127258.930235228
"640",455328.182598938
"641",250570.154468075
"642",491138.940879318
"643",447482.060051952
"644",432782.572734465
"645",361816.370312451
"646",1094067.1327475
"647",378965.822547938
"648",494397.910402977
"649",650864.802634956
"650",793484.169293644
"651",234117.986410277
"652",1116958.84795736
"653",633869.833396871
"654",146861.699626414
"655",991771.632819352
"656",235945.102934719
"657",175989.783953951
"658",427017.973600528
"659",356771.390871224
"660",409550.203227844
"661",375177.058502698
"662",459276.090245397
"663",707368.271706553
"664",295744.164353521
"665",185626.660736431
"666",74813.0073123151
"667",393156.532939336
"668",640013.798430929
"669",489448.767426552
"670",485481.880078069
"671",537611.904392118
"672",488710.091781174
"673",1396375.16986809
"674",480164.864168965
"675",398954.892145722
"676",728722.834470075
"677",1236137.37992561
"678",136792.684621638
"679",452191.912767605
"680",470936.445271807
"681",257396.029387645
"682",178137.275629454
"683",1117876.58614881
"684",510327.697499249
"685",400241.67552221
"686",751560.105103294
"687",412676.909054452
"688",265899.379306962
"689",676450.099832229
"690",377435.327314421
"691",415547.212245894
"692",1261136.16823943
"693",655471.286550273
"694",785947.048125752
"695",638890.28244952
"696",809354.168441908
"697",486041.942903253
"698",522769.502309513
"699",285322.854047807
"700",1521611.1659846
"701",646063.528226597
"702",1527408.16183381
"703",517579.361370132
"704",266270.257281101
"705",469994.920227795
"706",499270.833020159
"707",555455.69883045
"708",847634.442436686
"709",162235.177658776
"710",497417.358830332
"711",782123.571330593
"712",870250.17193718
"713",642196.891974026
"714",405622.805386703
"715",527241.944534891
"716",626604.470619723
"717",206651.093271007
"718",359117.144838074
"719",309526.493551196
"720",491189.25787728
"721",973530.643778282
"722",735945.071593148
"723",674379.987187164
"724",507218.799363725
"725",861993.242980549
"726",364134.736890629
"727",432565.98614392
"728",138734.837064549
"729",1377676.05325485
"730",489677.767406268
"731",501389.66764625
"732",479689.095807214
"733",797594.734173298
"734",1402110.46823519
"735",663254.717434676
"736",522322.73511999
"737",748377.937463349
"738",234915.298408365
"739",551766.982872325
"740",301658.465050247
"741",820165.393693212
"742",909759.256755295
"743",516906.991458242
"744",535209.585046922
"745",389564.45527465
"746",568127.545648542
"747",242089.195009019
"748",137801.455338306
"749",535501.83832959
"750",519837.761933799
"751",378062.787927187
"752",1744607.62604858
"753",971073.370157362
"754",409774.296332197
"755",870555.931830436
"756",263679.810522964
"757",606529.262644525
"758",710443.221876542
"759",460351.982070328
"760",484472.076080315
"761",507565.824655919
"762",233005.257786922
"763",440096.340921218
"764",100044.409143932
"765",306512.340983151
"766",318423.69604524
"767",271461.951971804
"768",711124.370019427
"769",301476.709781876
"770",1166468.6455647
"771",621858.820553778
"772",1120698.0227009
"773",1045382.33132381
"774",396540.708964507
"775",247335.273220166
"776",470447.7366666
"777",651979.744426154
"778",1007688.23439185
"779",550156.483795675
"780",296405.660832443
"781",459275.763249402
"782",515692.935683205
"783",390676.126932032
"784",182642.133312925
"785",150870.703536785
"786",387189.28047531
"787",446040.726843386
"788",519127.547937152
"789",292520.11073752
"790",736101.253351432
"791",379282.885375535
"792",746912.124172104
"793",1217685.02057867
"794",463085.232669564
"795",710760.304960279
"796",551071.888805386
"797",397351.964189691
"798",472709.536711679
"799",179722.300612913
"800",838274.607221042
"801",225452.028603127
"802",868986.469768747
"803",490323.173337091
"804",606128.651518021
"805",763659.677525753
"806",723062.695222435
"807",905919.696728415
"808",672777.695611021
"809",501812.517005297
"810",366358.723532766
"811",641523.234992402
"812",450598.037490042
"813",753975.898173479
"814",496393.472520973
"815",248347.259420121
"816",378702.518560255
"817",371637.122093237
"818",269702.490378095
"819",238507.971895199
"820",938302.333578704
"821",310841.319582942
"822",742544.391198077
"823",999100.665080005
"824",582652.491045641
"825",735353.08194096
"826",423395.538761357
"827",393389.609819895
"828",507122.210381989
"829",627203.724591025
"830",282622.346671406
"831",656175.201386904
"832",157719.263534362
"833",296264.10958829
"834",269603.630141701
"835",778591.655542674
"836",473368.323065484
"837",418573.860507913
"838",799225.096579331
"839",481336.652876413
"840",623231.717138827
"841",457279.198828292
"842",1170290.85774951
"843",2153420.96886134
"844",235128.947853465
"845",749996.959635974
"846",789533.980631135
"847",655082.266558324
"848",353770.238499998
"849",1723522.2637121
"850",269341.889671461
"851",84746.468505211
"852",391630.225097907
"853",295912.75381058
"854",307955.961157929
"855",524848.707797256
"856",413834.743022917
"857",269152.411291553
"858",468834.095312102
"859",248469.307070187
"860",795375.414197197
"861",549627.733674837
"862",164002.928745524
"863",529270.074389514
"864",407515.929112406
"865",330139.775582621
"866",1001474.01934338
"867",392363.919845716
"868",346342.834023172
"869",802585.737844248
"870",493942.636912922
"871",559748.382371934
"872",326490.262315106
"873",254587.285069537
"874",405460.81626946
"875",458634.75894377
"876",784079.375566414
"877",387721.620789188
"878",871787.197133912
"879",674370.932450871
"880",1477372.03694568
"881",1170683.32267687
"882",373297.175365184
"883",339634.854922184
"884",839360.788462347
"885",387284.164561651
"886",266210.755359559
"887",241738.741058562
"888",580222.199238637
"889",518324.632276131
"890",363336.43540449
"891",367035.663095115
"892",311226.026249488
"893",270438.973855241
"894",420100.945555947
"895",643777.461271795
"896",698300.851139721
"897",414329.204453632
"898",342227.1923603
"899",275817.010308403
"900",404297.73011359
"901",359323.203929825
"902",641842.928185155
"903",185790.997099261
"904",242774.888716694
"905",583759.388013856
"906",209734.460529092
"907",444452.946066817
"908",375181.919816463
"909",823056.946451982
"910",311953.560467808
"911",394692.732091501
"912",600136.25822734
"913",301001.72548833
"914",293704.745704248
"915",146427.827084547
"916",361189.507310636
"917",632874.65537825
"918",473935.35849061
"919",965328.622605141
"920",686236.175689986
"921",365052.79787707
"922",433131.335855551
"923",709265.998725038
"924",1593521.64646894
"925",549933.279126528
"926",237286.500073923
"927",540998.668162658
"928",643199.271515652
"929",311740.581765337
"930",288033.810217985
"931",1559503.05647105
"932",177433.811784631
"933",877141.904300472
"934",369111.214428932
"935",434641.461020219
"936",653841.607305975
"937",196715.030154654
"938",320874.556770268
"939",224303.255016328
"940",357488.89574216
"941",639736.253208745
"942",471979.237408205
"943",619343.522865279
"944",320214.237158134
"945",273507.505394133
"946",1007522.8226916
"947",122985.751798609
"948",199650.886943416
"949",316133.789809526
"950",492540.046399846
"951",648151.387501095
"952",521510.282772735
"953",231447.146415802
"954",399029.632908518
"955",813767.046066475
"956",151659.284099301
"957",628588.368039754
"958",274838.803843046
"959",505897.109495267
"960",845163.024796139
"961",859709.307618453
"962",911208.161300122
"963",314662.292620729
"964",328851.716129223
"965",425885.052873247
"966",528718.635084985
"967",509941.703683882
"968",540408.704505993
"969",724728.069807276
"970",759816.234139953
"971",566217.443432383
"972",392954.188838137
"973",248762.460831449
"974",816104.130485699
"975",603814.313737595
"976",523450.479751977
"977",871176.030161811
"978",529546.967513989
"979",407925.80575729
"980",322225.423343047
"981",724332.625349973
"982",669449.1487882
"983",410202.445483649
"984",398888.572633435
"985",254868.566891529
"986",398526.220396057
"987",429017.316231867
"988",221298.061292847
"989",656870.538683035
"990",318245.283717449
"991",318012.88479748
"992",734990.006180257
"993",1618885.0241103
"994",301815.141615553
"995",471631.95294636
"996",468509.527473527
"997",664473.274506263
"998",772390.507343659
"999",536674.116287245
"1000",648398.553607122
"1001",573551.494123306
"1002",615298.22651108
"1003",345615.873558285
"1004",1203449.64423413
"1005",343945.18294215
"1006",570844.578218832
"1007",782475.9472154
"1008",965275.710919436
"1009",809337.186369674
"1010",618336.312575177
"1011",579722.675493203
"1012",165242.352942762
"1013",907780.228725906
"1014",371285.57567713
"1015",410356.365390617
"1016",734303.364415211
"1017",153893.256758218
"1018",95406.5497261234
"1019",216520.756066293
"1020",440736.674312199
"1021",435007.386238644
"1022",636896.378672284
"1023",830704.417365347
"1024",761173.82670181
"1025",287673.699964338
"1026",157769.134545002
"1027",781484.378357808
"1028",128320.655444624
"1029",358624.633497728
"1030",476224.886230905
"1031",611168.543145873
"1032",415007.016417746
"1033",296260.742889089
"1034",744400.379777465
"1035",506437.127636026
"1036",618789.084701271
"1037",696247.298381374
"1038",413056.816698374
"1039",277300.792865569
"1040",396540.431506032
"1041",699148.726610207
"1042",559550.148198284
"1043",153065.291732312
"1044",367193.13483662
"1045",263584.91660061
"1046",679584.438300637
"1047",436261.630397693
"1048",260839.789697591
"1049",197609.873136025
"1050",825246.995112547
"1051",489787.439064534
"1052",327338.984140586
"1053",419593.759756363
"1054",480095.111091047
"1055",315622.003919999
"1056",440704.541018378
"1057",761681.218364109
"1058",484026.43175892
"1059",669382.625081502
"1060",575327.589153773
"1061",638665.047398149
"1062",1428012.91119446
"1063",528108.807575991
"1064",252263.708779772
"1065",663300.501452174
"1066",304970.327722541
"1067",338280.320284295
"1068",463509.107518263
"1069",628544.528706986
"1070",670181.777956801
"1071",1053311.35710201
"1072",253024.365917781
"1073",263695.9270214
"1074",196239.13284283
"1075",299274.364833806
"1076",832312.838036561
"1077",227824.128399484
"1078",770950.386114467
"1079",222538.563285376
"1080",206195.66977632
"1081",459408.104473483
"1082",291784.414478216
"1083",309514.790323335
"1084",467247.111291884
"1085",548544.767748487
"1086",248464.12249564
"1087",573046.447212799
"1088",657769.623515169
"1089",203136.588392324
"1090",377955.067877992
"1091",370675.61903982
"1092",279502.465431546
"1093",356135.010861625
"1094",487830.431051618
"1095",669372.034192448
"1096",569141.82847933
"1097",392941.551811353
"1098",175359.318108305
"1099",773155.219198343
"1100",196069.486839024
"1101",528752.579298762
"1102",324044.440799219
"1103",554612.928092943
"1104",488701.304139456
"1105",1756144.91413213
"1106",1306795.76800112
"1107",599210.960335761
"1108",316273.813842913
"1109",143950.757140911
"1110",972791.127487686
"1111",427904.243989206
"1112",501415.529520007
"1113",602654.928846745
"1114",817843.539972506
"1115",44435.6772125133
"1116",554971.99351605
"1117",542118.618905746
"1118",306274.094518301
"1119",661596.656296576
"1120",969783.872495697
"1121",1989677.25622425
"1122",498964.972757626
"1123",305115.931026752
"1124",717672.44701831
"1125",297968.600854492
"1126",828912.094712419
"1127",236009.369853772
"1128",372153.489504536
"1129",453429.274959002
"1130",664332.828611833
"1131",621966.215339663
"1132",618181.546146126
"1133",314914.042109577
"1134",562088.668601668
"1135",568265.326456378
"1136",223702.162846114
"1137",695366.14611866
"1138",782358.303644218
"1139",430887.986553031
"1140",609772.367272758
"1141",207817.429776148
"1142",566322.956468242
"1143",295174.092545209
"1144",530152.1523474
"1145",514732.938022529
"1146",1066026.63007879
"1147",407525.550700547
"1148",132943.934511618
"1149",562124.545393816
"1150",601992.479652587
"1151",2484526.26360964
"1152",438811.426114798
"1153",400083.765866711
"1154",455159.853563282
"1155",241174.792034965
"1156",441437.011933202
"1157",539176.295263519
"1158",197695.84933501
"1159",837400.669545457
"1160",223909.293478701
"1161",399554.261393828
"1162",482948.998114258
"1163",816172.855390368
"1164",310890.701906858
"1165",177697.995661766
"1166",479636.564522071
"1167",272348.114530772
"1168",292190.083292219
"1169",223619.656461813
"1170",389192.100849226
"1171",672019.813457692
"1172",746535.328003174
"1173",301976.655483792
"1174",1088017.99599947
"1175",562675.098784694
"1176",160330.725835915
"1177",1609071.04613153
"1178",545552.271592039
"1179",243015.815555597
"1180",268482.886571682
"1181",471696.920299285
"1182",611537.664981066
"1183",317617.139226201
"1184",191924.650929709
"1185",860648.530325446
"1186",932091.546580796
"1187",306665.477911752
"1188",448712.936395767
"1189",625690.580233029
"1190",270377.987687662
"1191",320292.164268788
"1192",685493.380957077
"1193",307764.801875344
"1194",435877.515478438
"1195",921422.552280694
"1196",309077.108445356
"1197",553806.732008832
"1198",640238.254762803
"1199",208024.893446828
"1200",578945.513757296
"1201",237430.325860093
"1202",765668.046646112
"1203",431796.932333256
"1204",125653.684464928
"1205",376929.746606705
"1206",315846.104940443
"1207",927629.927365422
"1208",144875.271725667
"1209",668156.349988047
"1210",144292.084810258
"1211",1084548.89243858
"1212",257825.265720666
"1213",320067.82459051
"1214",201632.041062005
"1215",806515.241589817
"1216",314829.677983376
"1217",289947.761496347
"1218",211922.657933177
"1219",567845.590390195
"1220",1119373.82237004
"1221",689934.243003932
"1222",559908.21308513
"1223",453275.4792108
"1224",513917.080438327
"1225",321743.972307272
"1226",325744.334140987
"1227",208557.294059071
"1228",427666.675242412
"1229",411381.48331064
"1230",968263.39211233
"1231",372896.037405269
"1232",520485.132341854
"1233",496330.269404463
"1234",333853.524278307
"1235",266631.298693901
"1236",250900.997170018
"1237",966394.4381292
"1238",903465.478253652
"1239",417438.55031049
"1240",1131854.63695365
"1241",978329.511592714
"1242",199897.265832735
"1243",1248405.71294212
"1244",277756.254654761
"1245",365363.737477373
"1246",230518.715038265
"1247",244159.333968629
"1248",124903.901948866
"1249",144650.583147166
"1250",302612.22886604
"1251",407363.547924096
"1252",450485.993294907
"1253",445361.429460201
"1254",509291.433660203
"1255",422889.207531206
"1256",304155.110618513
"1257",573416.409362359
"1258",314030.37122755
"1259",958013.913449107
"1260",532381.320783042
"1261",527934.183019043
"1262",454633.121587614
"1263",126558.798821928
"1264",527402.365640808
"1265",587779.536872673
"1266",2511933.38632707
"1267",2705778.26583605
"1268",199780.655082342
"1269",168499.24805034
"1270",779707.896722509
"1271",1304972.93615891
"1272",517477.251722824
"1273",250716.279527204
"1274",1246594.08114576
"1275",564161.68921403
"1276",565797.138696323
"1277",300812.778829532
"1278",562352.862601131
"1279",260350.306826644
"1280",580944.070847781
"1281",554436.878456045
"1282",456868.042814025
"1283",208085.195057799
"1284",1066502.08624381
"1285",650871.359762104
"1286",423518.880253772
"1287",464067.076524959
"1288",579655.673951694
"1289",600279.49756782
"1290",419476.467462203
"1291",716441.336363022
"1292",390400.977950835
"1293",341332.216429049
"1294",526975.202456182
"1295",629771.290471654
"1296",370043.056394487
"1297",637094.012682686
"1298",121455.248030079
"1299",488654.889369093
"1300",362355.259491185
"1301",349904.780300762
"1302",578899.281527766
"1303",503555.742257141
"1304",641125.367394258
"1305",560616.884842937
"1306",545254.025056251
"1307",334803.133686463
"1308",587153.760775651
"1309",201796.6547945
"1310",336585.239803669
"1311",811283.270767562
"1312",242939.769901859
"1313",423874.685662081
"1314",678622.554787543
"1315",336135.396263441
"1316",308121.693746331
"1317",504734.323445341
"1318",432897.345661136
"1319",561937.058054717
"1320",999970.211311282
"1321",433628.844736154
"1322",520515.830256672
"1323",350389.741930607
"1324",1191176.89264219
"1325",719962.578287543
"1326",808556.094753182
"1327",236321.480242156
"1328",562114.62201093
"1329",1002779.81917697
"1330",472088.147959137
"1331",1394895.01019803
"1332",474611.524271217
"1333",470825.298086138
"1334",286043.31994047
"1335",567239.605803226
"1336",345499.857940288
"1337",828269.509772203
"1338",308492.018891901
"1339",517274.287531668
"1340",492557.622674784
"1341",282884.29952322
"1342",600252.965745438
"1343",371184.494426707
"1344",618273.847604706
"1345",1120202.9135921
"1346",605381.794019207
"1347",508007.581506781
"1348",384566.955919588
"1349",347155.641084048
"1350",459730.60136122
"1351",406470.029369823
"1352",617093.449669896
